work_id	person_id	title	subtitle	author	path
4920	001049	科学の不思議	STORY-BOOK OF SCIENCE アンリイ・ファブル　Jean-Henri Fabre	大杉栄、伊藤野枝訳	cards/001049/files/4920_ruby_39154/4920_ruby_39154.txt
4923	000154	涼亭	――序に代へて――	田中貢太郎	cards/000154/files/4923_ruby_29466/4923_ruby_29466.txt
4924	001051	考城隍	蒲松齢	田中貢太郎訳	cards/001051/files/4924_ruby_27875/4924_ruby_27875.txt
4925	001051	成仙	蒲松齢	田中貢太郎訳	cards/001051/files/4925_ruby_27880/4925_ruby_27880.txt
4926	001051	王成	蒲松齢	田中貢太郎訳	cards/001051/files/4926_ruby_27873/4926_ruby_27873.txt
4927	001051	嬰寧	蒲松齢	田中貢太郎訳	cards/001051/files/4927_ruby_27871/4927_ruby_27871.txt
4928	001051	織成	蒲松齢	田中貢太郎訳	cards/001051/files/4928_ruby_27879/4928_ruby_27879.txt
4929	001051	阿繊	蒲松齢	田中貢太郎訳	cards/001051/files/4929_ruby_27870/4929_ruby_27870.txt
4930	001051	珊瑚	蒲松齢	田中貢太郎訳	cards/001051/files/4930_ruby_27877/4930_ruby_27877.txt
4931	001051	五通	蒲松齢	田中貢太郎訳	cards/001051/files/4931_ruby_27876/4931_ruby_27876.txt
4932	001051	連城	蒲松齢	田中貢太郎訳	cards/001051/files/4932_ruby_27887/4932_ruby_27887.txt
4933	001051	汪士秀	蒲松齢	田中貢太郎訳	cards/001051/files/4933_ruby_27872/4933_ruby_27872.txt
4934	001051	庚娘	蒲松齢	田中貢太郎訳	cards/001051/files/4934_ruby_27874/4934_ruby_27874.txt
4935	001051	阿霞	蒲松齢	田中貢太郎訳	cards/001051/files/4935_ruby_27869/4935_ruby_27869.txt
4936	001051	田七郎	蒲松齢	田中貢太郎訳	cards/001051/files/4936_ruby_27883/4936_ruby_27883.txt
4937	001051	翩翩	蒲松齢	田中貢太郎訳	cards/001051/files/4937_ruby_27884/4937_ruby_27884.txt
4938	001051	促織	蒲松齢	田中貢太郎訳	cards/001051/files/4938_ruby_27881/4938_ruby_27881.txt
4939	001051	阿英	蒲松齢	田中貢太郎訳	cards/001051/files/4939_ruby_27868/4939_ruby_27868.txt
4940	001051	封三娘	蒲松齢	田中貢太郎訳	cards/001051/files/4940_ruby_27885/4940_ruby_27885.txt
4941	001051	蓮花公主	蒲松齢	田中貢太郎訳	cards/001051/files/4941_ruby_27886/4941_ruby_27886.txt
4942	001051	小翠	蒲松齢	田中貢太郎訳	cards/001051/files/4942_ruby_27878/4942_ruby_27878.txt
4943	001051	偸桃	蒲松齢	田中貢太郎訳	cards/001051/files/4943_ruby_27882/4943_ruby_27882.txt
4944	000388	亡び行く江戸趣味		淡島寒月	cards/000388/files/4944_ruby_8547/4944_ruby_8547.txt
4945	000388	江戸の玩具		淡島寒月	cards/000388/files/4945_ruby_8543/4945_ruby_8543.txt
4946	000154	轆轤首		田中貢太郎	cards/000154/files/4946_ruby_16510/4946_ruby_16510.txt
4947	000154	雪女		田中貢太郎	cards/000154/files/4947_ruby_16461/4947_ruby_16461.txt
4948	000154	狢		田中貢太郎	cards/000154/files/4948_ruby_16406/4948_ruby_16406.txt
4949	000154	おいてけ堀		田中貢太郎	cards/000154/files/4949_ruby_16396/4949_ruby_16396.txt
4950	000154	円朝の牡丹燈籠		田中貢太郎	cards/000154/files/4950_ruby_16546/4950_ruby_16546.txt
